Datensatz;Name_Parameter;Spalte_v1_06;Spalte_v1_11;Spalte_v1_12;Spalte_v1_15;Verwendung
control_summary;postsurv_farms_f;postsurv_farms_f;postsurv_farms_f;postsurv_farms_f;postsurv_farms_f;Number of false positive farms detected in post outbreak surveillance
control_summary;postsurv_farms_t_1;postsurv_farms_t_1;postsurv_farms_t_1;postsurv_farms_t_1;postsurv_farms_t_1;Number of true negative farms detected in post outbreak surveillance
control_summary;postsurv_farms_f_1;postsurv_farms_f_1;postsurv_farms_f_1;postsurv_farms_f_1;postsurv_farms_f_1;Number of false negative farms detected in post outbreak surveillance
control_summary;postmgmt_vacc_animals_culled;postmgmt_vacc_animals_culled;postmgmt_vacc_animals_culled;postmgmt_vacc_animals_culled;postmgmt_vacc_animals_culled;Number of vaccinated animals culled in post management
control_summary;postsurv_start;postsurv_start;postsurv_start;postsurv_start;postsurv_start;Start of the post-outbreak surveillance program
control_summary;postsurv_end;postsurv_end;postsurv_end;postsurv_end;postsurv_end;End of the post-outbreak surveillance program
control_summary;postmgmt_end;postmgmt_end;postmgmt_end;postmgmt_end;postmgmt_end;End of post-outbreak management
farm_daily;cum_ihs;total_ihs;total_ihs;cum_ihs;cum_ihs;Epi general - time series -Infected farms (IHs)
farm_daily;total_surv_done;total_surv_done;total_surv_done;total_surv_done;total_surv_done;Epi general - time series - Surveillance visits
farm_daily;total_culls_done;total_culls_done;total_culls_done;total_culls_done;total_culls_done;Epi general - time series - Cullings (farm level)
farm_daily;total_disp_done;total_disp_done;total_disp_done;total_disp_done;total_disp_done;Epi general - time series - Disposals (farm level)
farm_daily;total_vacc_done;total_vacc_done;total_vacc_done;total_vacc_done;total_vacc_done;Epi general - time series - Vaccinated farms
farm_daily;num_large_commercial_dairy_pzhs;large_commercial_dairy_pzhs;large_commercial_dairy_pzhs;num_large_commercial_dairy_pzhs;num_large_commercial_dairy_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_large_commercial_beef_pzhs;large_commercial_beef_pzhs;large_commercial_beef_pzhs;num_large_commercial_beef_pzhs;num_large_commercial_beef_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_small_commercial_beef_pzhs;small_commercial_beef_pzhs;small_commercial_beef_pzhs;num_small_commercial_beef_pzhs;num_small_commercial_beef_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_commercial_buffalo_pzhs;commercial_buffalo_pzhs;commercial_buffalo_pzhs;num_commercial_buffalo_pzhs;num_commercial_buffalo_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_commercial_small_ruminants_pzhs;commercial_small_ruminants_pzhs;commercial_small_ruminants_pzhs;num_commercial_small_ruminants_pzhs;num_commercial_small_ruminants_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_large_scale_commercial_fattening_pigs_pzhs;large_scale_commercial_fattening_pigs_pzhs;large_scale_commercial_fattening_pigs_pzhs;num_large_scale_commercial_fattening_pigs_pzhs;num_large_scale_commercial_fattening_pigs_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_large_scale_commercial_breeding_pigs_pzhs;large_scale_commercial_breeding_pigs_pzhs;large_scale_commercial_breeding_pigs_pzhs;num_large_scale_commercial_breeding_pigs_pzhs;num_large_scale_commercial_breeding_pigs_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_small_scale_commercial_pig_pzhs;small_scale_commercial_pig_pzhs;small_scale_commercial_pig_pzhs;num_small_scale_commercial_pig_pzhs;num_small_scale_commercial_pig_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_backyard_pzhs;backyard_pzhs;backyard_pzhs;num_backyard_pzhs;num_backyard_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_mixed_pzhs;mixed_pzhs;mixed_pzhs;num_mixed_pzhs;num_mixed_pzhs;Epi farm type - Maximum number of farms in protection zones at any time
farm_daily;num_large_commercial_dairy_szhs;large_commercial_dairy_szhs;large_commercial_dairy_szhs;num_large_commercial_dairy_szhs;num_large_commercial_dairy_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_daily;num_large_commercial_beef_szhs;large_commercial_beef_szhs;large_commercial_beef_szhs;num_large_commercial_beef_szhs;num_large_commercial_beef_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_daily;num_small_commercial_beef_szhs;small_commercial_beef_szhs;small_commercial_beef_szhs;num_small_commercial_beef_szhs;num_small_commercial_beef_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_daily;num_commercial_buffalo_szhs;commercial_buffalo_szhs;commercial_buffalo_szhs;num_commercial_buffalo_szhs;num_commercial_buffalo_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_daily;num_commercial_small_ruminants_szhs;commercial_small_ruminants_szhs;commercial_small_ruminants_szhs;num_commercial_small_ruminants_szhs;num_commercial_small_ruminants_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_daily;num_large_scale_commercial_fattening_pigs_szhs;large_scale_commercial_fattening_pigs_szhs;large_scale_commercial_fattening_pigs_szhs;num_large_scale_commercial_fattening_pigs_szhs;num_large_scale_commercial_fattening_pigs_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_daily;num_large_scale_commercial_breeding_pigs_szhs;large_scale_commercial_breeding_pigs_szhs;large_scale_commercial_breeding_pigs_szhs;num_large_scale_commercial_breeding_pigs_szhs;num_large_scale_commercial_breeding_pigs_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
