Datensatz;Name_Parameter;Spalte_v1_06;Spalte_v1_11;Spalte_v1_12;Spalte_v1_15;Verwendung
cost_summary;ro_days_out_of_market;ro_days_out_of_market;ro_days_out_of_market;ro_days_out_of_market;ro_days_out_of_market;Econ - Days out of market
cost_summary;ro_loss_of_trade;ro_loss_of_trade;ro_loss_of_trade;ro_loss_of_trade;ro_loss_of_trade;Econ - Loss of trade
cost_summary;ro_overall_cost;ro_overall_cost;ro_overall_cost;ro_overall_cost;ro_overall_cost;Econ - Total costs
cost_summary;si_surveillance;si_surveillance;si_surveillance;si_surveillance;si_surveillance;Econ - Surveillance costs
cost_summary;si_culling;si_culling;si_culling;si_culling;si_culling;Econ - Culling costs
cost_summary;si_disposal;si_disposal;si_disposal;si_disposal;si_disposal;Econ - Disposal costs
cost_summary;si_disinfection;si_disinfection;si_disinfection;si_disinfection;si_disinfection;Econ - Disinfection costs
cost_summary;si_vaccination;si_vaccination;si_vaccination;si_vaccination;si_vaccination;Econ - Vaccination costs
cost_summary;si_compensation;si_compensation;si_compensation;si_compensation;si_compensation;Econ - Compensation costs
cost_summary;si_post_mgmt_total_cost;si_post_mgmt_total_cost;si_post_mgmt_total_cost;si_post_mgmt_total_cost;si_post_mgmt_total_cost;Econ - Post management costs
cost_summary;si_control_centre_cost;si_control_centre_cost;si_control_centre_cost;si_contsil_centre_cost;si_contsil_centre_cost;Econ - Control center costs
cost_summary;si_days_out_of_market;si_days_out_of_market;si_days_out_of_market;si_days_out_of_market;si_days_out_of_market;Econ - Days out of market
cost_summary;si_loss_of_trade;si_loss_of_trade;si_loss_of_trade;si_loss_of_trade;si_loss_of_trade;Econ - Loss of trade
cost_summary;si_overall_cost;si_overall_cost;si_overall_cost;si_overall_cost;si_overall_cost;Econ - Total costs
herd_summary;reason_diagnosed;reason_diagnosed;reason_diagnosed;reason_diagnosed;reason_diagnosed;Diagnostics - control phase - Bestimmen, ob Betrieb Kontaktbetrieb oder Verdachtsbetrieb
herd_summary;day_clinical;day_clinical;day_clinical;day_clinical;day_clinical;Diagnostics - control phase - Bestimmen ob Betrieb symptomatisch
herd_summary;herd_type;herd_type;herd_type;herd_type;herd_type;Diagnostics - control phase
herd_summary;herd_size;herd_size;herd_size;herd_size;herd_size;"Diagnostics - control phase; diagnostics - POM surveillance"
herd_summary;species_id;species_id;species_id;species_id;species_id;Diagnostics - POM surveillance - Bestimmen, ob Schweinebetrieb
herd_summary;day_vaccinated;day_vaccinated;day_vaccinated;day_vaccinated;day_vaccinated;Diagnostics - POM surveillance - Bestimmen, Betrieb geimpft
config_summary;database_name;database_name;database_name;database_name;database;Configuration
config_summary;scenario_name;scenario_name;scenario_name;scenario_name;scenario_name;Configuration
config_summary;scenario_num_runs;scenario_num_runs;scenario_num_runs;scenario_num_runs;scenario_num_runs;Configuration
config_summary;scenario_max_length;scenario_max_length;scenario_max_length;scenario_max_length;scenario_max_length;Configuration
config_summary;seed_mode;seed_mode;seed_mode;seed_mode;seed_mode;Configuration
config_summary;first_ip_detection_mode;first_ip_detection_mode;first_ip_detection_mode;first_ip_detection_mode;first_ip_detection_mode;Configuration
config_summary;vaccination_enabled;vaccination_enabled;vaccination_enabled;vaccination_enabled;vaccination_enabled;Configuration
config_summary;direct_spread_enabled;direct_spread_enabled;direct_spread_enabled;direct_spread_enabled;direct_spread_enabled;Configuration
config_summary;indirect_spread_enabled;indirect_spread_enabled;indirect_spread_enabled;indirect_spread_enabled;indirect_spread_enabled;Configuration
config_summary;local_spread_enabled;local_spread_enabled;local_spread_enabled;local_spread_enabled;local_spread_enabled;Configuration
config_summary;airborne_spread_enabled;airborne_spread_enabled;airborne_spread_enabled;airborne_spread_enabled;airborne_spread_enabled;Configuration
config_summary;saleyard_spread_enabled;saleyard_spread_enabled;saleyard_spread_enabled;saleyard_spread_enabled;saleyard_spread_enabled;Configuration
config_summary;diffusion_spread_enabled;diffusion_spread_enabled;diffusion_spread_enabled;diffusion_spread_enabled;diffusion_spread_enabled;Configuration
config_summary;jump_spread_enabled;jump_spread_enabled;jump_spread_enabled;jump_spread_enabled;jump_spread_enabled;Configuration
config_summary;control_measures_enabled;control_measures_enabled;control_measures_enabled;control_measures_enabled;control_measures_enabled;Configuration
config_summary;movement_restrictions_enabled;movement_restrictions_enabled;movement_restrictions_enabled;movement_restrictions_enabled;movement_restrictions_enabled;Configuration
config_summary;ip_operations_enabled;ip_operations_enabled;ip_operations_enabled;ip_operations_enabled;ip_operations_enabled;Configuration
config_summary;surveillance_enabled;surveillance_enabled;surveillance_enabled;surveillance_enabled;surveillance_enabled;Configuration
config_summary;resources_enabled;resources_enabled;resources_enabled;resources_enabled;resources_enabled;Configuration
config_summary;sp_reporting_enabled;sp_reporting_enabled;sp_reporting_enabled;sp_reporting_enabled;sp_reporting_enabled;Configuration
