Parameter;Value
par_diag_control_bulk_milk;1
par_diag_control_lesions_smrum;6
par_diag_control_lesions_pigs;6
par_diag_control_lesions_cattle;6
par_diag_control_edta;20
par_diag_control_serum;20
par_diag_control_ffd_prev;5
par_diag_control_ffd_certainty;95
